strategic_intelligence.n.01	preventive_medicine.n.01
gnat.n.02	tuna.n.03
phycobilin.n.01	amphioxidae.n.01
porcellionidae.n.01	awl.n.01
pelobatidae.n.01	anabas.n.01
revival.n.01	difflugia.n.01
finance.n.03	anamnestic_response.n.01
ephemeroptera.n.01	sentimentalization.n.01
backgammon_board.n.01	athletic_supporter.n.01
cost_analysis.n.01	bankia.n.01
anguidae.n.01	division.n.03
enterostomy.n.01	rhizopod.n.01
in-fighting.n.01	recusation.n.01
paprilus.n.01	aeronautical_engineering.n.02
king_mackerel.n.01	swing.n.03
requiem_shark.n.01	drafting.n.02
kob.n.01	sellout.n.01
pholidota.n.02	councillorship.n.01
abortifacient.n.01	chordate_genus.n.01
destruction_fire.n.01	blue_wall_of_silence.n.01
conservation.n.02	horizontal_integration.n.01
phenacomys.n.01	castor.n.05
trench_warfare.n.02	rise.n.02
chicken_snake.n.01	quack-quack.n.01
toadfish.n.01	scomberomorus.n.01
placodermi.n.01	phoronid.n.01
refresher_course.n.01	spoil.n.02
rearrangement.n.01	physician-assisted_suicide.n.01
balsam_woolly_aphid.n.01	aphidoidea.n.01
sparling.n.02	razing.n.02
adventure.n.01	genus_oryx.n.01
argyle.n.03	coat.n.03
abduction.n.01	reception.n.04
golf_stroke.n.01	lighterage.n.02
olympian_games.n.01	production.n.07
harvest.n.03	intestinal_bypass.n.01
lacerta.n.01	formicidae.n.01
pempheridae.n.01	first_base.n.02
anaspida.n.01	red_porgy.n.01
hydromantes.n.01	common_american_shad.n.01
counterdemonstration.n.01	beaked_whale.n.01
cooperation.n.02	device.n.03
horned_chameleon.n.01	cochineal_insect.n.01
concurrence.n.02	back_room.n.01
backup.n.04	statutory_offense.n.01
diphylla.n.01	incorporation.n.03
myxine.n.01	pearlfish.n.01
secession.n.03	scaphopoda.n.01
orthodontic_treatment.n.01	air_force_research_laboratory.n.01
traditionalism.n.02	cinnamon_bear.n.01
red_eft.n.01	hood.n.10
apheresis.n.02	autoplasty.n.02
basiliscus.n.01	development.n.01
common_murre.n.01	da'wah.n.01
genus_ibis.n.01	bony_fish.n.01
spasm.n.02	jewfish.n.02
solo_homer.n.01	xenicus.n.01
reptile.n.01	frying.n.01
barrel_vault.n.01	european_sea_bream.n.01
european_hare.n.01	hegira.n.01
curling.n.01	parula_warbler.n.01
picariae.n.01	e-commerce.n.01
alligator_wrench.n.01	discoloration.n.02
kinglet.n.01	thylogale.n.01
batrachoseps.n.01	medicare.n.01
columba.n.02	xanthophyceae.n.01
mullidae.n.01	back_door.n.01
acetate_disk.n.01	coccoidea.n.01
dermoptera.n.01	genus_squilla.n.01
genus_difflugia.n.01	base.n.19
isolation.n.03	noctiluca.n.01
atomization.n.02	true_bug.n.01
embioptera.n.01	hydromantes.n.01
motor_control.n.01	unguiculate.n.01
assertiveness_training.n.01	headroom.n.02
beaked_whale.n.01	trachipteridae.n.01
shoot.n.02	mallophaga.n.01
ergotropism.n.01	holometabola.n.01
neurotrichus.n.01	grey.n.07
coot.n.01	proboscidean.n.01
dasyatis.n.01	caracal.n.01
aircraft_engine.n.01	cow_shark.n.01
tineola.n.01	freeze.n.03
triggerfish.n.01	social_security.n.01
comeback.n.02	jacks.n.01
heroics.n.01	concentration.n.06
liberalization.n.01	kogia.n.01
accreditation.n.01	indigo_snake.n.01
ark_shell.n.01	twist.n.13
antiprotozoal.n.01	lodging.n.03
plataleidae.n.01	ganoin.n.01
galago.n.01	struthiomimus.n.01
game.n.01	carcharhinus.n.01
tineoidea.n.01	sea_fan.n.01
orphan.n.04	audio_cd.n.01
slender_salamander.n.01	stupidity.n.02
weaning.n.01	groundwork.n.03
wild_sheep.n.01	opinion.n.05
genus_nostoc.n.01	falcon.n.01
kinglet.n.01	backfire.n.04
hypsometry.n.01	plicatoperipatus_jamaicensis.n.01
leucocytozoan.n.01	count_fleet.n.01
chlamydiaceae.n.01	decentralization.n.02
spray_painting.n.01	preoccupancy.n.02
thermotherapy.n.01	naval_blockade.n.01
bailment.n.01	merino.n.01
acheta.n.01	paving.n.03
amphibious_assault.n.01	spanish_fly.n.01
carcharias.n.01	vasotomy.n.01
french_bulldog.n.01	myomorpha.n.01
andrenidae.n.01	service.n.11
oral_contraception.n.01	eastern_red-backed_salamander.n.01
floating.n.01	araroba.n.01
caenolestidae.n.01	dental_practice.n.01
jumpstart.n.01	kickoff.n.01
pristis.n.01	sexploitation.n.01
lophophorus.n.01	tarpon.n.01
talpidae.n.01	caproidae.n.01
secretary_of_defense.n.02	pitymys.n.01
nitrite_bacterium.n.01	lacertidae.n.01
yearling.n.03	gavotte.n.01
appointment.n.01	gopher_snake.n.02
split.n.01	walk-through.n.04
otididae.n.01	giant_eland.n.01
netting.n.02	eating.n.01
b-52.n.01	proctoplasty.n.01
aneides.n.01	counterattack.n.01
atomization.n.02	chile_bonito.n.01
gila_monster.n.01	tribonema.n.01
wether.n.01	seattle_slew.n.01
hexanchus.n.01	slip.n.14
custom.n.04	misbehavior.n.01
triopidae.n.01	directed_study.n.01
mercy.n.05	fabrication.n.02
aye-aye.n.01	bisexuality.n.02
bittacidae.n.01	unwritten_law.n.01
phase_iv_clinical_trial.n.01	freshwater_mussel.n.01
mammal_genus.n.01	thalassoma.n.01
duplicidentata.n.01	transposition.n.05
mamba.n.01	smooth_hammerhead.n.01
hellbender.n.01	falconiformes.n.01
vicuna.n.03	skimmer.n.04
euchre.n.01	bladderwrack.n.01
okapi.n.01	cervus.n.01
rhizobiaceae.n.01	chub.n.01
spanish_mackerel.n.03	free_kick.n.01
beak.n.01	jihad.n.01
venesection.n.01	air_search_radar.n.01
belostomatidae.n.01	fight.n.05
setter.n.02	artillery_fire.n.01
put_option.n.02	monodontidae.n.01
kitten.n.01	perognathus.n.01
pigfish.n.01	pitch.n.08
electromyography.n.01	action.n.10
pinniped_mammal.n.01	hit.n.02
wood-frog.n.01	euglenophyceae.n.01
give-and-go.n.01	tetrao.n.01
adelgid.n.01	line-drive_double.n.01
shape-up.n.01	amiidae.n.01
instillation.n.01	honeybee.n.01
eastern_cricket_frog.n.01	rope-a-dope.n.01
homemaking.n.01	struthiomimus.n.01
teleostei.n.01	irish_moss.n.01
remilitarization.n.01	birch_leaf_miner.n.01
acropora.n.01	acanthopterygii.n.01
grey_lemming.n.01	pickup.n.08
philanthropy.n.01	cere.n.01
visit.n.01	faith_healing.n.01
excursion.n.01	nasua.n.01
sexual_love.n.02	genus_spirogyra.n.01
counterattack.n.01	bulldog.n.01
artificial_joint.n.01	brush-tailed_porcupine.n.01
carpet_bombing.n.01	acquisition.n.01
scyliorhinidae.n.01	marsupialia.n.01
barrel_vault.n.01	value_judgment.n.01
mnemonic.n.01	allocation.n.03
slapshot.n.01	blood_typing.n.01
barbecuing.n.01	longfin_mako.n.01
remise.n.03	trespass_de_bonis_asportatis.n.01
bluegill.n.01	mnemonic.n.01
array.n.03	goat.n.01
aftershaft.n.01	exploration.n.01
handover.n.01	peridinium.n.01
alkylating_agent.n.01	rustication.n.05
paridae.n.01	claw.n.03
chemosurgery.n.01	french_and_indian_war.n.01
rendition.n.03	crotaphytus.n.01
apishamore.n.01	loach.n.01
rock_beauty.n.01	byssus.n.01
trail_riding.n.01	phalangiidae.n.01
asceticism.n.03	artiodactyla.n.01
mastoidectomy.n.01	terebella.n.01
electronic_deception.n.01	consummation.n.01
chaetognatha.n.01	antineoplastic_antibiotic.n.01
castor.n.05	ice_show.n.01
bufo.n.01	amphineura.n.01
accommodation_reflex.n.01	greco-roman_wrestling.n.01
language_lesson.n.01	butterfly_ray.n.01
hunger_strike.n.01	secretariat.n.02
play.n.03	ant_bear.n.01
fissipedia.n.01	mallee_fowl.n.01
monkey.n.01	fun.n.01
house_centipede.n.01	seafaring.n.01
enterobius.n.01	crested_myna.n.01
spotted_sandpiper.n.01	application.n.03
decolonization.n.01	maternalism.n.02
bassinet.n.01	attempt.n.01
extramarital_sex.n.01	manual_labor.n.01
credit.n.06	grivet.n.01
transfusion_reaction.n.01	odonata.n.01
big_game.n.01	brewer's_mole.n.01
antenna.n.03	chunga.n.01
molossidae.n.01	backswimmer.n.01
basal_body_temperature_method_of_family_planning.n.01	secretary_bird.n.01
craniotomy.n.01	quotation.n.04
trick.n.07	predator.n.02
endospore-forming_bacteria.n.01	genus_barosaurus.n.01
mental_measurement.n.01	highway_robbery.n.02
trim.n.04	flight_maneuver.n.01
loxostege.n.01	dionysia.n.01
xenosauridae.n.01	drive.n.06
attrition.n.05	assembly_plant.n.01
spadework.n.01	medicine.n.03
arrowworm.n.01	otus.n.01
fetch.n.01	widening.n.03
magnetic_levitation.n.01	fetishism.n.02
elasmobranchii.n.01	lamellicorn_beetle.n.01
buyout.n.01	greater_kudu.n.01
pastern.n.01	co-option.n.02
ostracoderm.n.01	seeking.n.02
albacore.n.02	depiction.n.04
domestic_llama.n.01	flicker.n.02
annulet.n.03	intercommunion.n.01
transfusion.n.02	euphausia_pacifica.n.01
horned_lizard.n.01	spearfish.n.01
chelicera.n.01	tortricid.n.01
oral_contraception.n.01	ichthyosauridae.n.01
throw.n.01	myringectomy.n.01
australian_magpie.n.01	treponema.n.01
turnout.n.07	tolerance.n.03
dipodomys.n.01	mathematical_process.n.01
dramatization.n.02	jacamar.n.01
hibernation.n.03	legal_separation.n.02
land_development.n.01	kookaburra.n.01
mortification.n.04	seed_oyster.n.01
instrumentation.n.02	blackening.n.01
academic_costume.n.01	synapsida.n.01
artificial_heart.n.01	circus.n.02
inachis.n.01	brill.n.01
sheep.n.01	animal_leg.n.01
cladorhyncus.n.01	aggravation.n.03
shampoo.n.02	gadoid.n.01
loan_approval.n.01	passer.n.05
amble.n.01	adrenalectomy.n.01
oil_change.n.01	secretary_of_agriculture.n.02
second_crusade.n.01	required_course.n.01
bollworm.n.01	bond_trading.n.01
pulmonata.n.01	face_saver.n.01
acorn_tube.n.01	child_pornography.n.01
abomasum.n.01	bass_clarinet.n.01
indiscretion.n.02	barrel.n.01
nitrite_bacterium.n.01	scyphozoan.n.01
brush-tailed_phalanger.n.01	prefixation.n.01
enterobius.n.01	hock.n.02
towhee.n.01	fatwa.n.01
american_woodcock.n.01	grouse.n.02
tineidae.n.01	hydrobatidae.n.01
pine_vole.n.01	frustration.n.02
dwarf_pipefish.n.01	coup_d'etat.n.01
ambassadorship.n.01	bricklaying.n.01
platycephalidae.n.01	civil_contempt.n.01
great_white_heron.n.02	chub.n.01
concurrent_negligence.n.01	tick.n.02
garter_snake.n.01	house_mouse.n.01
abdominal_breathing.n.01	match-up.n.01
evaluation.n.01	anopheles.n.01
refit.n.01	extravagance.n.03
raja.n.02	fluorescence_microscopy.n.01
urodella.n.01	homer.n.01
whip.n.05	vertical_bank.n.01
wagram.n.02	plasmodium.n.01
reclining.n.01	sanderling.n.01
plethodon.n.01	hudson_bay_collared_lemming.n.01
hooded_seal.n.01	fight.n.02
joining.n.01	arming.n.01
humanization.n.01	operation.n.07
solo.n.03	bodybuilding.n.01
tailorbird.n.01	substitution.n.02
formicariidae.n.01	lacerta.n.01
myrmeleon.n.01	australian_blacksnake.n.01
ram.n.05	echinoderm_genus.n.01
utahraptor.n.01	eimeriidae.n.01
russian_roulette.n.01	action.n.01
iguanidae.n.01	ice_bear.n.01
belemnite.n.01	phrynosoma.n.01
scopes_trial.n.01	salamandra.n.01
surveillance.n.01	maggot.n.01
occupational_therapy.n.01	minnow.n.01
dermochelys.n.01	hornpipe.n.01
table_game.n.01	ganoin.n.01
dislocation.n.02	intestinal_flora.n.01
orectolobus.n.01	limicolae.n.01
maltreatment.n.01	xenopus.n.01
fenusa.n.01	cancridae.n.01
adjustment.n.03	anointing_of_the_sick.n.01
myrtle_warbler.n.01	coracias.n.01
shoebill.n.01	extortion.n.02
auspices.n.01	auto_limitation.n.01
light_show.n.01	crapshoot.n.01
layer.n.05	yellow_jacket.n.02
agrobacterium.n.01	reciprocal_cross.n.01
kit.n.03	assault_gun.n.02
elanoides.n.01	claim.n.03
urophycis.n.01	galliformes.n.01
entail.n.02	babbler.n.02
pet.n.01	brain_drain.n.01
thysanopter.n.01	lakeland_terrier.n.01
american_smooth_dogfish.n.01	chilomycterus.n.01
oversimplification.n.01	pelecaniformes.n.01
airliner.n.01	secretary_of_energy.n.02
tragulus.n.01	exocoetidae.n.01
backroom.n.01	reflex.n.01
genus_potamogale.n.01	party_game.n.01
fall_armyworm.n.01	southern_flounder.n.01
pigsticking.n.01	cyanocitta.n.01
cow_pony.n.01	nepa.n.01
honorable_discharge.n.01	reoviridae.n.01
chalons.n.01	muscoidea.n.01
rainbow_trout.n.02	bar_mask.n.01
antibacterial.n.01	red_bat.n.01
loxia.n.01	ice_show.n.01
manchester_terrier.n.01	refresher_course.n.01
investment.n.06	timaliidae.n.01
assault_rifle.n.01	seventeen-year_locust.n.01
chip.n.08	medusa.n.02
indigo_bunting.n.01	saratoga_spittlebug.n.01
bastinado.n.02	norwegian_elkhound.n.01
ruby-crowned_kinglet.n.01	jerboa.n.01
two-year-old_horse.n.01	iguanodontidae.n.01
last_rites.n.02	podargus.n.01
spying.n.01	pholis.n.01
ceramics.n.01	scup.n.03
prosauropoda.n.01	ultimate_frisbee.n.01
new_world_beaver.n.01	antitussive.n.01
browse.n.03	save.n.01
long_haul.n.01	monopoly.n.03
amphibian.n.03	scheduled_maintenance.n.01
minesweeping.n.01	ritual.n.02
apron.n.01	hoof.n.02
fingering.n.01	boxfish.n.01
answer.n.05	crawl.n.02
lutra.n.01	brown_hyena.n.01
trap_block.n.01	giving.n.03
wild_pitch.n.01	aba.n.02
placodermi.n.01	banking.n.01
dactylopteridae.n.01	armed_robbery.n.01
temnospondyli.n.01	mole_cricket.n.01
carpentry.n.01	pagellus.n.01
tattler.n.02	muscidae.n.01
sea_mouse.n.01	sweet-potato_whitefly.n.01
australopithecus_africanus.n.01	trifurcation.n.01
powder-post_termite.n.01	lend-lease.n.01
printing.n.02	mutton_snapper.n.01
patas.n.01	gerris.n.01
civil_suit.n.01	oyster_shell.n.01
racerunner.n.01	mecoptera.n.01
freight.n.02	treasurership.n.01
proteus.n.02	boll_weevil.n.01
contract_killing.n.01	chancellorship.n.01
somateria.n.01	embryonic_stem-cell_research.n.01
mother_carey's_chicken.n.01	hack.n.08
burglary.n.01	recapture.n.02
firefly.n.01	clay-colored_robin.n.01
goal-kick.n.01	drosophilidae.n.01
kite.n.04	capra.n.02
virginia_reel.n.01	treason.n.01
anhimidae.n.01	dint.n.01
phoenicopteridae.n.01	eastern_woodrat.n.01
homarus.n.01	exhaustion.n.03
walkabout.n.03	position.n.09
spalax.n.01	intestinal_bypass.n.01
actual_eviction.n.01	blacktip_shark.n.01
pack_riding.n.01	zebra-tailed_lizard.n.01
conge.n.03	close-quarter_fighting.n.01
anabrus.n.01	extirpation.n.02
kit_fox.n.01	parulidae.n.01
computerized_tomography.n.01	snakeblenny.n.01
freshwater_bream.n.02	bowing.n.02
enfilade.n.01	weakening.n.02
mollie.n.01	judgment_of_dismissal.n.01
gadfly.n.02	laryngectomy.n.01
bas_relief.n.01	rhesus.n.01
equus.n.01	turtle.n.02
genus_trichodesmium.n.01	snub.n.02
proposition.n.05	sacrament.n.01
wisent.n.01	egretta.n.01
andrena.n.01	censoring.n.02
causing.n.01	remand.n.01
dealings.n.01	roundup.n.01
dasyurus.n.01	seashell.n.01
coondog.n.01	assignment.n.01
extortion.n.03	raffle.n.01
armadillidium.n.01	drain.n.01
fregata.n.01	grain_moth.n.01
case_study.n.02	chelonian.n.01
immunotherapy.n.01	protoceratops.n.01
xerobates.n.01	alpine_salamander.n.01
suidae.n.01	dactylopteridae.n.01
instrumentation.n.02	bandage.n.01
achoerodus.n.01	arctiidae.n.01
accessory.n.01	vesiculovirus.n.01
vibration.n.01	appropriation.n.03
contract.n.03	presumption.n.04
copepoda.n.01	schlep.n.02
destabilization.n.02	induction.n.05
loxodonta.n.01	downtick.n.01
criminal_negligence.n.01	greenhouse_whitefly.n.01
aversion.n.02	pluvialis.n.01
greyback.n.02	air_mattress.n.01
transfiguration.n.03	maggot.n.01
scorched-earth_policy.n.01	wage_freeze.n.01
operating_procedure.n.01	rack.n.06
rod.n.02	closeout.n.01
linguistic_performance.n.01	white-rumped_shrike.n.01
airing_cupboard.n.01	gyration.n.02
glass_lizard.n.01	dancing.n.01
shirodkar's_operation.n.01	orange_bat.n.01
blue_whale.n.01	heterostraci.n.01
idiolatry.n.01	despite.n.02
genus_trogon.n.01	benevolence.n.03
macaque.n.01	white-tailed_jackrabbit.n.01
stenopterygius.n.01	orange_bat.n.01
genus_coscoroba.n.01	xenopodidae.n.01
enema.n.01	desmodus_rotundus.n.01
belgian_sheepdog.n.01	aquatint.n.02
mexican_bean_beetle.n.01	fusion.n.07
dorylinae.n.01	dinosaur.n.01
fang.n.04	short_sale.n.01
heterostracan.n.01	genus_cyclops.n.01
convention.n.05	amputation.n.02
peanut_worm.n.01	waterbuck.n.01
appeasement.n.01	amyl_nitrate.n.01
sabotage.n.01	wildcat_strike.n.01
diploid.n.01	spheniscidae.n.01
examination.n.01	jazz_festival.n.01
neritidae.n.01	tragulidae.n.01
vitrectomy.n.01	coregonus.n.01
probe.n.04	agateware.n.01
concubinage.n.01	bandanna.n.01
pricket.n.02	cat's_cradle.n.01
oil_beetle.n.01	screech_owl.n.02
tiger_cub.n.01	solo.n.03
actual_eviction.n.01	logging.n.01
tit_for_tat.n.01	temnospondyli.n.01
animalcule.n.01	credit.n.06
tribolium.n.01	lined_snake.n.01
genus_stentor.n.01	anthropometry.n.01
figuration.n.01	frustration.n.02
backbench.n.01	backboard.n.01
maxostoma.n.01	arctiid.n.01
noblesse_oblige.n.01	amobarbital_sodium.n.01
rationalization.n.03	chum_salmon.n.01
alectoris.n.01	webbed_foot.n.01
design.n.01	giant_petrel.n.01
obviation.n.01	apartment.n.01
gudgeon.n.02	lasiocampidae.n.01
roadkill.n.01	job.n.07
caiman_lizard.n.01	centrarchidae.n.01
waterbuck.n.01	charadriidae.n.01
flip.n.05	cytophotometry.n.01
function.n.03	lookout.n.04
troglodytidae.n.01	thoroughbred.n.03
unio.n.01	munch.n.02
swallow-tailed_kite.n.01	checkered_whiptail.n.01
whip-scorpion.n.01	photography.n.01
pythonidae.n.01	bowhead.n.01
turtle.n.02	stupidity.n.02
squamata.n.01	intemperance.n.02
goldcrest.n.01	oviraptorid.n.01
seduction.n.01	game_bird.n.01
pricket.n.02	overhead.n.06
patella.n.02	long-horned_grasshopper.n.01
strip_cropping.n.01	money_laundering.n.01
scoter.n.01	bacitracin.n.01
professional_golf.n.01	diversionary_landing.n.01
whip-snake.n.01	curb_service.n.01
capture.n.01	chorion.n.01
hike.n.01	antique.n.02
delphinus.n.02	grubby.n.01
directed_verdict.n.01	purge.n.03
peripatopsis.n.01	reversal.n.01
alpaca.n.03	suicide_mission.n.01
brown_bullhead.n.01	treadmill.n.03
grooving.n.01	whisker.n.02
crossfire.n.02	pinworm.n.01
sable_antelope.n.01	opening.n.05
jest.n.02	smoke_screen.n.02
hysterotomy.n.01	augmentation.n.03
pinche.n.01	magic_trick.n.01
philohela.n.01	contest.n.02
furnarius.n.01	accommodation_ladder.n.01
slave_ant.n.01	dereliction.n.02
oviraptorid.n.01	red-shafted_flicker.n.01
eastern_kingbird.n.01	sandbar_shark.n.02
marking.n.03	leopardess.n.01
lemming.n.01	american_chameleon.n.01
gerrididae.n.01	extension.n.04
parlay.n.01	packing.n.03
hyperoglyphe.n.01	microsporidian.n.01
article.n.02	pitch.n.02
trout.n.02	triple_play.n.01
lurch.n.01	hexanchidae.n.01
mambo.n.01	bhakti.n.01
ciconiiformes.n.01	sea_louse.n.01
chrysochloridae.n.01	drepanididae.n.01
linnet.n.02	scission.n.01
streptococcus_anhemolyticus.n.01	realization.n.05
strain.n.10	aphididae.n.01
rhinonicteris.n.01	bottom_lurkers.n.01
caprimulgus.n.01	otididae.n.01
bitis.n.01	noblesse_oblige.n.01
deterrence.n.03	carioca.n.03
politics.n.03	worsening.n.02
shy.n.01	wild_sheep.n.01
euproctis.n.01	dining.n.01
back_room.n.01	attribute.n.02
art_class.n.01	secretary_of_housing_and_urban_development.n.02
bandanna.n.01	mud_turtle.n.01
secularization.n.01	adagio.n.02
lunge.n.02	callithricidae.n.01
pet.n.01	appointment.n.01
waxing.n.01	blastocyst.n.01
toasting.n.01	dasyatidae.n.01
e-commerce.n.01	chew.n.02
ophisaurus.n.01	airing.n.02
baccarat.n.01	cunner.n.01
phase_iv_clinical_trial.n.01	number_crunching.n.01
nephrotomy.n.01	trichys.n.01
claim.n.03	freeze.n.04
war.n.01	guessing_game.n.01
baize.n.01	ratbite_fever_bacterium.n.01
abduction.n.02	austerlitz.n.02
apery.n.01	cardiac_massage.n.01
shtik.n.04	spalacidae.n.01
passing.n.06	parrotfish.n.01
healthcare.n.01	ballistocardiograph.n.01
priacanthidae.n.01	balance_wheel.n.01
marsupialia.n.01	whistling.n.02
pterodactyl.n.01	motacillidae.n.01
cricetus.n.01	castigation.n.02
cuterebridae.n.01	booklouse.n.01
laying_on.n.01	aotus.n.01
runoff.n.02	counterattack.n.02
carcase.n.01	extermination.n.02
skua.n.01	cotswold.n.01
drink.n.02	behavior.n.01
goldbrick.n.04	total_parenteral_nutrition.n.01
validation.n.01	brush.n.09
appaloosa.n.01	cicada.n.01
surprise.n.03	grubby.n.01
trachipterus.n.01	american_staffordshire_terrier.n.01
tetrapturus.n.01	free_time.n.02
worm.n.01	walkabout.n.01
solenogaster.n.01	atlantic_puffin.n.01
schistosome.n.01	loxostege.n.01
rock_hyrax.n.01	thaneship.n.01
solitaire.n.03	lookout.n.04
viperidae.n.01	golden_pheasant.n.01
thrasher.n.02	ax_handle.n.01
cardium.n.01	cuculus.n.01
readmission.n.01	dasyurus.n.01
ptilonorhynchidae.n.01	presumption.n.04
cyprinodontidae.n.01	white-rumped_shrike.n.01
blenniidae.n.01	manatee.n.01
price_freeze.n.01	milking_shorthorn.n.01
shock_therapy.n.01	charolais.n.01
communications_technology.n.01	rack.n.07
lorikeet.n.01	green_lacewing.n.01
grey_whale.n.01	shortfin_mako.n.01
xenosaurus.n.01	monopolization.n.01
pipistrellus.n.01	bait_casting.n.01
genus_protohippus.n.01	spot_pass.n.01
secretary_of_energy.n.02	phase_iv_clinical_trial.n.01
second_wind.n.02	close-quarter_fighting.n.01
score.n.10	triglidae.n.01
respiratory_syncytial_virus.n.01	champerty.n.01
heliobacter.n.01	endoderm.n.01
countermortar_fire.n.01	bacillus_subtilis.n.01
wardenship.n.01	acorn_tube.n.01
apple_orchard.n.01	genus_amphiuma.n.01
chrysaora.n.01	larus.n.01
debarkation.n.01	the_devil.n.01
brown_rat.n.01	pinch.n.06
ammotragus.n.01	electric_ray.n.01
genus_drosophila.n.01	smooth_dogfish.n.01
garden_snail.n.01	sending.n.01
exemption.n.03	dodo.n.02
mexican_bean_beetle.n.01	complementary_medicine.n.01
trespass.n.01	tamarisk_gerbil.n.01
christian_liturgy.n.01	notation.n.03
jena.n.01	monal.n.01
severance.n.02	napoleonic_wars.n.01
whitelash.n.01	reprieve.n.04
genus_siren.n.01	grackle.n.02
sonoran_whipsnake.n.01	association.n.02
carpet_moth.n.01	geoduck.n.01
polar_hare.n.01	musophagidae.n.01
horsewhipping.n.01	ambulatory.n.01
herbivore.n.01	deathblow.n.01
colinus.n.01	centriscidae.n.01
platypoecilus.n.01	confederation.n.03
perpetration.n.01	troop_movement.n.01
apodiformes.n.01	business_life.n.01
meuse.n.02	genus_allosaurus.n.01
ord_kangaroo_rat.n.01	char.n.03
displacement.n.06	ball.n.01
mastotermes_electrodominicus.n.01	wood_swallow.n.01
acorn_barnacle.n.01	adrenergic_agonist_eyedrop.n.01
line_of_least_resistance.n.01	animal_virus.n.01
cockerel.n.01	austerlitz.n.02
feminist_movement.n.01	arthroscope.n.01
banded_palm_civet.n.01	throw.n.05
edmontosaurus.n.01	loft_bombing.n.01
evasion.n.04	revision.n.01
potoroo.n.01	penetration.n.03
audition.n.02	genus_nostoc.n.01
vote.n.02	paddlefish.n.01
thylogale.n.01	balloon_bomb.n.01
pelvimetry.n.01	harassing_fire.n.01
smooth_softshell.n.01	caroling.n.01
housecleaning.n.02	zenaidura.n.01
supervision.n.01	roll.n.15
tarsier.n.01	midwife_toad.n.01
praetorship.n.01	anatomy.n.03
flicker.n.02	carcase.n.01
free_kick.n.01	dug.n.01
commotion.n.02	mouthpart.n.01
confession.n.03	cynopterus.n.01
take-up.n.02	call.n.11
valvotomy.n.01	leg_exercise.n.01
oral_sex.n.01	substance.n.01
thryothorus.n.01	popinjay.n.02
tetrapod.n.01	comatulidae.n.01
flathead_catfish.n.01	brown_trout.n.01
lyrebird.n.01	thaliacea.n.01
blacktail_jackrabbit.n.01	communalism.n.01
rose-colored_starling.n.01	pluvialis.n.01
national_insurance.n.01	gambling.n.01
bathymetry.n.01	barbershop.n.01
bel_canto.n.01	typhlopidae.n.01
ankylosaur.n.01	eastern_woodrat.n.01
jury_duty.n.01	colonoscopy.n.01
picket.n.06	lucknow.n.02
subsistence_farming.n.01	hairstreak.n.01
leiopelma.n.01	panther.n.02
triglidae.n.01	armored_dinosaur.n.01
opisthocomidae.n.01	injustice.n.01
eumeces.n.01	book_fair.n.02
charleston.n.03	genus_proconsul.n.01
white_marlin.n.01	accelerator.n.01
dowitcher.n.01	titillation.n.02
backscratcher.n.02	euphausia_pacifica.n.01
spatter.n.02	mammuthus.n.01
emydidae.n.01	indirect_fire.n.01
miscegenation.n.01	behavior_therapy.n.01
neritid.n.01	flip.n.04
cuttlefish.n.01	headroom.n.02
portage.n.03	uakari.n.01
camelidae.n.01	affenpinscher.n.01
sagittarius.n.04	raffle.n.01
charales.n.01	chameleon_tree_frog.n.01
ballcock.n.01	overhaul.n.01
standard_schnauzer.n.01	helodermatidae.n.01
vesper_sparrow.n.01	genus_difflugia.n.01
spectroscopy.n.01	lottery.n.02
tailorbird.n.01	comstockery.n.01
genus_ommastrephes.n.01	kittiwake.n.01
aphid.n.01	slider.n.03
gluttony.n.02	pouched_mole.n.01
oyster_crab.n.01	venipuncture.n.01
ursus.n.01	call-back.n.02
direct_marketing.n.01	mccarthyism.n.01
scrod.n.02	carnivora.n.01
oniscus.n.01	zoomastigote.n.01
amobarbital_sodium.n.01	kit_fox.n.01
snap_roll.n.01	sarcoptes.n.01
radiation.n.02	pagrus.n.01
labyrinthodontia.n.01	purple_bacteria.n.01
triopidae.n.01	herbal_medicine.n.02
pisha_paysha.n.01	african_monitor.n.01
odd-toed_ungulate.n.01	plunk.n.02
teredo.n.01	hirudinidae.n.01
kick_up.n.01	mud_puppy.n.01
back.n.09	navigation.n.02
capitalization.n.02	lodging.n.03
reithrodontomys.n.01	attribute.n.02
criminal_suit.n.01	adelie.n.01
aneroid_barometer.n.01	peccary.n.01
ocean_pout.n.01	bonito_shark.n.01
instrument_flying.n.01	esox.n.01
rod.n.02	rynchopidae.n.01
double_dribble.n.01	naval_campaign.n.01
lake_whitefish.n.01	angiotensin_ii_inhibitor.n.01
herpes_simplex_2.n.01	apogon.n.01
ice_show.n.01	turn.n.12
reticulitermes_lucifugus.n.01	megalonychidae.n.01
unguiculate.n.01	lophiidae.n.01
messiahship.n.01	common_eland.n.01
palaemon.n.01	swallow.n.03
seduction.n.01	red_drum.n.01
genus_dicamptodon.n.01	standard_poodle.n.01
grounding.n.02	physeter.n.01
spirochaetales.n.01	headlock.n.01
berycomorphi.n.01	actual_eviction.n.01
startle_response.n.01	lemur.n.01
solicitorship.n.01	hamming.n.01
pit_stop.n.01	archilochus.n.01
chordeiles.n.01	pouched_mouse.n.01
giving.n.03	review.n.08
flare_pass.n.01	coloratura.n.02
anti-tnf_compound.n.01	hind.n.02
