agitation.n.05	shaking.n.01
bird_genus.n.01	timalia.n.01
bird_genus.n.01	coereba.n.01
bird_genus.n.01	auriparus.n.01
fluke.n.05	schistosome.n.01
stop.n.03	night-stop.n.01
tropism.n.01	neurotropism.n.01
eye_operation.n.01	iridotomy.n.01
action.n.01	change.n.03
protection.n.01	momism.n.01
roll.n.14	barrel_roll.n.01
work.n.01	wash.n.02
use_immunity.n.01	transactional_immunity.n.01
measurement.n.01	angulation.n.01
filling.n.06	flood.n.05
bird_genus.n.01	campylorhynchus.n.01
fish_genus.n.01	genus_eptatretus.n.01
falsification.n.03	forgery.n.02
transmission.n.01	telephotography.n.01
application.n.03	waxing.n.01
education.n.01	extracurricular_activity.n.01
selling.n.01	retail.n.01
stylization.n.01	conventionalization.n.01
bird_genus.n.01	gyps.n.01
reptile_genus.n.01	urosaurus.n.01
aggression.n.05	aggravation.n.02
success.n.02	overturn.n.02
mastectomy.n.01	modified_radical_mastectomy.n.01
construction.n.01	erecting.n.01
issue.n.04	stock_issue.n.01
expulsion.n.03	belch.n.01
flight.n.02	terrain_flight.n.01
falsification.n.02	lying.n.01
animal_order.n.01	lobata.n.01
expedient.n.01	improvisation.n.02
change_of_integrity.n.01	combination.n.07
pup.n.01	puppy.n.01
delivery.n.07	cesarean_delivery.n.01
animal_order.n.01	cuculiformes.n.01
reptile.n.01	anapsid.n.01
custom.n.01	consuetude.n.01
x-raying.n.01	computerized_tomography.n.01
exercise.n.01	kegel_exercises.n.01
child's_game.n.01	marbles.n.01
position.n.06	presidency.n.02
lesson.n.01	tennis_lesson.n.01
strike.n.02	preventive_strike.n.01
duck.n.01	shoveler.n.02
estimate.n.02	appraisal.n.03
revolution.n.02	mexican_revolution.n.01
torture.n.05	nail_pulling.n.01
sexual_assault.n.01	rape.n.03
rockweed.n.01	fucus.n.01
animal_order.n.01	xiphosura.n.01
rescue.n.01	salvation.n.04
dive.n.02	cliff_diving.n.01
ctenophore_family.n.01	cestidae.n.01
coupling.n.03	disassortative_mating.n.01
chicken.n.02	dominique.n.01
contact_sport.n.01	football.n.01
writing.n.01	redaction.n.02
migration.n.01	gold_rush.n.02
sale.n.03	closeout.n.01
deal.n.08	misdeal.n.01
nap.n.04	siesta.n.01
pitched_battle.n.01	brunanburh.n.01
bird_genus.n.01	alcedo.n.01
steering.n.02	celestial_guidance.n.01
misuse.n.01	substance_abuse.n.01
larceny.n.01	petit_larceny.n.01
production.n.01	rainmaking.n.01
vertebrate.n.01	amphibian.n.03
measurement.n.01	anemography.n.01
space.n.01	absolute_space.n.01
eubacteria.n.01	streptococcus.n.01
streptomyces.n.01	streptomyces_griseus.n.01
frisk.n.01	strip_search.n.01
regulation.n.06	timing.n.02
art.n.02	painting.n.02
bird_genus.n.01	phoeniculus.n.01
separation.n.05	isolation.n.03
pheasant.n.01	argus.n.02
worm.n.01	flatworm.n.01
incision.n.02	laparotomy.n.01
inclination.n.08	stoop.n.01
steering.n.02	driving.n.02
ceratopsian.n.01	triceratops.n.01
motion.n.06	locomotion.n.02
corporal_punishment.n.01	electric_shock.n.01
shark.n.01	requiem_shark.n.01
development.n.01	elaboration.n.05
sewing.n.01	suturing.n.01
excursion.n.01	field_trip.n.01
expansion.n.04	annotation.n.02
dasyure.n.01	eastern_dasyure.n.01
improvement.n.02	reform.n.01
trade.n.02	drafting.n.02
opinion.n.05	fatwa.n.01
keratoplasty.n.01	epikeratophakia.n.01
bird.n.01	piciform_bird.n.01
affixation.n.02	suffixation.n.01
calibration.n.01	tuning.n.01
march.n.02	countermarch.n.01
terrorism.n.01	international_terrorism.n.01
limitation.n.05	arms_control.n.01
mass.n.04	low_mass.n.01
absence.n.02	cut.n.20
privation.n.02	pauperization.n.02
merganser.n.01	smew.n.01
watering.n.02	sprinkle.n.02
card_game.n.01	cribbage.n.01
performance.n.03	mechanism.n.02
swimming_stroke.n.01	sidestroke.n.01
ambystomid.n.01	waterdog.n.01
insult.n.02	scandalization.n.02
protection.n.01	waterproofing.n.01
counterintelligence.n.01	counterespionage.n.01
bird_family.n.01	cinclidae.n.01
spectroscopy.n.01	microwave_spectroscopy.n.01
art.n.02	glyptography.n.02
liberation.n.01	jail_delivery.n.01
kite.n.04	swallow-tailed_kite.n.01
insertion.n.02	cannulation.n.01
gait.n.02	jog_trot.n.01
shark.n.01	mackerel_shark.n.01
papovavirus.n.01	polyoma.n.01
psychotherapy.n.02	self-analysis.n.02
organization.n.04	reorganization.n.01
abstraction.n.06	psychological_feature.n.01
hindrance.n.03	antagonism.n.04
bombing.n.01	bombing_run.n.01
trade.n.02	dressmaking.n.01
vote.n.01	multiple_voting.n.01
athletic_training.n.01	fartlek.n.01
operation.n.06	cryosurgery.n.01
jump.n.06	leap.n.01
corvine_bird.n.01	raven.n.01
movement.n.11	transplant.n.03
attachment.n.05	traditionalism.n.02
sexual_activity.n.01	carnal_abuse.n.01
football_play.n.01	tackle.n.05
care.n.05	slight_care.n.01
marketing_research.n.01	market_analysis.n.01
arthropod_genus.n.01	scutigerella.n.01
exhibition.n.01	production.n.04
ablation.n.01	mastectomy.n.01
bacteria.n.01	legionella_pneumophilia.n.01
new_world_warbler.n.01	parula_warbler.n.01
finch.n.01	serin.n.01
sterilization.n.01	neutering.n.01
tree_toad.n.01	chameleon_tree_frog.n.01
turn.n.02	stem_turn.n.01
waste.n.02	waste_of_time.n.01
wren.n.02	cactus_wren.n.01
indoctrination.n.01	inculcation.n.01
salamander.n.01	hellbender.n.01
reptile_family.n.01	crocodylidae.n.01
departure.n.01	disappearance.n.01
work.n.01	welfare_work.n.01
bacteria_species.n.01	francisella_tularensis.n.01
feat.n.01	tour_de_force.n.01
enterprise.n.01	racket.n.02
pitched_battle.n.01	marston_moor.n.02
nitrobacterium.n.01	nitrate_bacterium.n.01
masturbation.n.01	self-stimulation.n.01
touch.n.05	handling.n.02
motion.n.03	retroflection.n.03
bird_genus.n.01	acanthisitta.n.01
procedure.n.04	bureaucratic_procedure.n.01
enteric_bacteria.n.01	klebsiella.n.01
reptile_genus.n.01	caretta.n.01
closure.n.07	bank_closing.n.01
box_turtle.n.01	western_box_turtle.n.01
fly.n.04	blast.n.01
murder.n.01	fratricide.n.03
vertebrate.n.01	aquatic_vertebrate.n.01
eye_operation.n.01	vitrectomy.n.01
practice.n.04	medical_practice.n.01
attempt.n.01	test.n.05
launching.n.03	rocket_firing.n.01
combination.n.07	attachment.n.06
swan.n.01	tundra_swan.n.01
attempt.n.01	struggle.n.01
true_frog.n.01	bullfrog.n.01
obstruction.n.04	blockage.n.03
nelson.n.02	half_nelson.n.01
goal.n.04	own_goal.n.01
defense.n.01	hasty_defense.n.01
ranching.n.01	roundup.n.01
disqualification.n.02	recusation.n.01
colubrid_snake.n.01	garter_snake.n.01
matrix_operation.n.01	matrix_transposition.n.01
motion.n.03	stroke.n.12
bird_genus.n.01	melospiza.n.01
cyanobacteria.n.01	nostoc.n.01
copying.n.01	duplication.n.02
support.n.02	blessing.n.01
female.n.01	hen.n.04
demonstration.n.03	work-in.n.01
admission.n.01	matriculation.n.01
collection.n.04	agglomeration.n.02
exercise.n.03	shadowboxing.n.01
dispersion.n.03	crop-dusting.n.01
rattlesnake.n.01	prairie_rattlesnake.n.01
rebuff.n.01	snub.n.02
restitution.n.03	clawback.n.01
naval_battle.n.01	philippine_sea.n.01
young_mammal.n.01	calf.n.01
loop.n.10	outside_loop.n.01
religious_ceremony.n.01	sacrament.n.01
removal.n.01	elimination.n.04
buffoonery.n.01	shtik.n.03
embryo.n.02	gastrula.n.01
manipulation.n.01	mind_game.n.02
jostle.n.01	elbowing.n.01
bacteria_genus.n.01	genus_chlamydia.n.01
bird_genus.n.01	cathartes.n.01
flight.n.02	maiden_flight.n.01
torture.n.05	bastinado.n.02
capture.n.01	conquest.n.01
bridge.n.05	auction.n.01
art.n.02	printmaking.n.01
crest.n.05	topknot.n.02
search.n.01	frisk.n.01
undertaking.n.01	no-brainer.n.01
play.n.14	game.n.11
technology.n.01	high_technology.n.01
animal_order.n.01	gregarinida.n.01
control.n.05	steering.n.03
waste.n.02	waste_of_material.n.01
radiotherapy.n.01	radium_therapy.n.01
score.n.10	basket.n.04
step.n.03	pas.n.01
new_world_flycatcher.n.01	scissortail.n.01
association.n.02	fraternization.n.01
travel.n.01	crossing.n.01
pitched_battle.n.01	tewkesbury.n.01
grouping.n.02	phrasing.n.01
sacrament.n.01	holy_order.n.02
trade.n.02	lumbering.n.01
game.n.02	playoff_game.n.01
pitched_battle.n.01	ypres.n.01
animal_order.n.01	menurae.n.01
tort.n.01	trespass.n.01
reptile_genus.n.01	gambelia.n.01
cyprinid.n.01	goldfish.n.01
profession.n.02	journalism.n.02
score.n.10	spare.n.03
termination.n.05	withdrawal.n.09
damage.n.03	wound.n.04
stage_dancing.n.01	belly_dance.n.01
defense.n.01	chemical_defense.n.01
commerce.n.01	exporting.n.01
canary.n.04	common_canary.n.01
employment.n.02	telecommuting.n.01
sabotage.n.01	bombing.n.02
oscine.n.01	tanager.n.01
discrimination.n.01	heterosexism.n.01
farming.n.01	planting.n.03
fish_genus.n.01	petromyzon.n.01
practice.n.01	custom.n.01
pitched_battle.n.01	yalu_river.n.02
extension.n.02	stretch.n.05
myna.n.01	crested_myna.n.01
cyprinid.n.01	gudgeon.n.02
crime.n.01	felony.n.01
animal_order.n.01	menotyphla.n.01
fight.n.02	fencing.n.03
pipefish.n.01	dwarf_pipefish.n.01
spraying.n.03	spray_painting.n.01
job_action.n.01	work_to_rule.n.01
disturbance.n.05	furor.n.02
hagfish.n.01	eptatretus.n.01
salamander.n.01	olm.n.01
intemperance.n.03	spree.n.01
gait.n.02	canter.n.01
gambling.n.01	throw.n.05
protoctist_genus.n.01	genus_difflugia.n.01
subtraction.n.02	withholding.n.01
procedure.n.01	diagnostic_procedure.n.01
eubacteria.n.01	enteric_bacteria.n.01
agamid.n.01	frilled_lizard.n.01
position.n.06	teachership.n.01
disturbance.n.05	commotion.n.02
education.n.01	higher_education.n.01
prayer.n.01	blessing.n.05
hang.n.03	inverted_hang.n.01
bird_genus.n.01	elanus.n.01
punctuation.n.03	hyphenation.n.02
nematode.n.01	wheatworm.n.01
activity.n.01	protection.n.01
change_of_state.n.01	arousal.n.01
authorization.n.04	sanction.n.04
hybridization.n.01	dihybrid_cross.n.01
acrobatics.n.02	tailspin.n.02
tenrec.n.01	tailless_tenrec.n.01
ablation.n.01	pneumonectomy.n.01
measurement.n.01	spirometry.n.01
reptile_genus.n.01	genus_herrerasaurus.n.01
change.n.03	variation.n.11
arachnid.n.01	false_scorpion.n.01
testing.n.02	screening.n.04
business_activity.n.01	operation.n.02
bacteria.n.01	calymmatobacterium.n.01
pitched_battle.n.01	bannockburn.n.01
playing.n.02	pitching.n.01
loss.n.03	default.n.01
relinquishment.n.02	cession.n.01
bacteria_genus.n.01	genus_clostridium.n.01
kick.n.01	place_kick.n.01
appropriation.n.03	preemption.n.04
discourtesy.n.03	insolence.n.02
position.n.06	emirate.n.02
fabrication.n.03	newspeak.n.01
catch.n.09	mesh.n.05
giving.n.01	oblation.n.01
eubacteria.n.01	coccobacillus.n.01
reaction.n.03	tropism.n.01
test.n.05	mot.n.02
squeeze.n.01	pinch.n.06
position.n.06	comptrollership.n.01
headship.n.01	headmastership.n.01
blow.n.01	stab.n.02
delivery.n.01	post.n.11
reptile_family.n.01	leptotyphlopidae.n.01
flight.n.02	flyover.n.02
bird_genus.n.01	somateria.n.01
baseball.n.01	professional_baseball.n.01
stare.n.01	contemplation.n.01
improvement.n.02	repair.n.01
sport.n.01	rock_climbing.n.01
separation.n.09	tear.n.04
social_welfare.n.01	relief.n.08
goldfish.n.01	silverfish.n.02
bird_family.n.01	aepyornidae.n.01
battle.n.01	drogheda.n.01
shot.n.15	headshot.n.02
motion.n.03	jerk.n.02
drawing.n.05	derivation.n.06
screamer.n.03	horned_screamer.n.01
sonography.n.01	a-scan_ultrasonography.n.01
intonation.n.04	fixed_intonation.n.01
mathematical_process.n.01	arithmetic_operation.n.01
cut.n.19	spending_cut.n.01
secretaryship.n.01	secretary_of_the_treasury.n.02
beautification.n.01	beauty_treatment.n.01
phalanger.n.01	cuscus.n.01
activity.n.01	search.n.01
puncture.n.03	centesis.n.01
cultivation.n.02	farming.n.01
thrush.n.03	solitaire.n.03
amphibian.n.03	salamander.n.01
mesoderm.n.01	mesenchyme.n.01
exercise.n.01	leg_exercise.n.01
cardiopulmonary_exercise.n.01	jump_rope.n.02
fish_family.n.01	pristidae.n.01
amphibian_family.n.01	xenopodidae.n.01
sport.n.01	spectator_sport.n.01
investigation.n.02	police_work.n.01
hearing.n.01	competence_hearing.n.01
invertebrate.n.01	mollusk.n.01
marketing.n.02	direct_marketing.n.01
entertainment.n.01	extravaganza.n.01
cultivation.n.02	culture.n.07
dating.n.01	radiocarbon_dating.n.01
wrongdoing.n.02	misfeasance.n.01
journey.n.01	pilgrimage.n.01
purge.n.01	purification.n.04
simplification.n.02	oversimplification.n.01
bird_genus.n.01	poephila.n.01
harassment.n.02	sexual_harassment.n.01
pigeon.n.01	pouter_pigeon.n.01
social_control.n.01	management.n.01
propulsion.n.02	shooting.n.01
emergency_procedure.n.01	cardiac_massage.n.01
pitched_battle.n.01	boyne.n.01
quail.n.02	california_quail.n.01
reaction.n.07	backlash.n.02
commitment.n.02	communalism.n.02
reptile_genus.n.01	genus_iguanodon.n.01
fire.n.02	neutralization_fire.n.01
amphibian_genus.n.01	leptodactylus.n.01
constriction.n.04	squeeze.n.08
bird_genus.n.01	richmondena.n.01
merganser.n.01	goosander.n.01
sporozoan.n.01	merozoite.n.01
increase.n.05	strengthening.n.02
patrol.n.02	round-the-clock_patrol.n.01
centesis.n.01	thoracocentesis.n.01
cypriniform_fish.n.01	cyprinid.n.01
manta.n.02	atlantic_manta.n.01
application.n.03	tinning.n.02
increase.n.05	augmentation.n.03
sacrifice.n.04	hecatomb.n.01
bacteria_family.n.01	mycobacteriaceae.n.01
employment.n.02	seafaring.n.01
reptile_genus.n.01	eumeces.n.01
reptile_genus.n.01	seismosaurus.n.01
animal_order.n.01	columbiformes.n.01
sound_reproduction.n.01	high_fidelity.n.01
dialysis.n.01	apheresis.n.02
pitch.n.02	curve.n.03
true_frog.n.01	tarahumara_frog.n.01
disposal.n.03	mine_disposal.n.01
wrestling.n.02	flying_mare.n.01
kelp.n.01	sea_tangle.n.01
organism.n.01	native.n.03
organization.n.04	rationalization.n.04
bird_genus.n.01	dendrocolaptes.n.01
activity.n.01	education.n.01
position.n.09	third_base.n.02
examination.n.01	survey.n.01
examination.n.01	once-over.n.01
folly.n.04	buffoonery.n.01
bacteria.n.01	rod.n.02
acrobatic_stunt.n.01	walkover.n.01
act.n.02	departure.n.01
down.n.01	plumule.n.01
tropism.n.01	trophotropism.n.01
hit.n.02	bunt.n.01
campaigning.n.01	whispering_campaign.n.01
waste.n.02	squandering.n.01
exercise.n.03	rehearsal.n.02
behavior.n.01	dirty_pool.n.01
reptile_genus.n.01	trionyx.n.01
contact.n.01	placement.n.02
tortoise.n.01	giant_tortoise.n.01
animal.n.01	thoroughbred.n.03
reptile_family.n.01	helodermatidae.n.01
protoctist_genus.n.01	genus_leucocytozoon.n.01
animal_virus.n.01	arenavirus.n.01
embrace.n.01	hug.n.01
pitched_battle.n.01	plassey.n.01
exercise.n.01	isotonic_exercise.n.01
partridge.n.03	mountain_quail.n.01
buyout.n.01	strategic_buyout.n.01
animal.n.01	pet.n.01
maneuver.n.05	clinch.n.01
reptile_genus.n.01	testudo.n.02
run.n.01	unearned_run.n.01
measurement.n.01	audiometry.n.02
frog.n.01	tree_frog.n.02
breathing.n.01	eupnea.n.01
employment.n.02	services.n.01
economy.n.04	economy_of_scale.n.01
meeting.n.04	socialization.n.02
breakage.n.03	smashing.n.01
activity.n.01	leadership.n.01
arthropod_genus.n.01	lycosa.n.01
fish_genus.n.01	dasyatis.n.01
bowling.n.01	lawn_bowling.n.01
inducement.n.02	corruption.n.06
blockade.n.01	naval_blockade.n.01
animal_order.n.01	polymastigina.n.01
beginning.n.05	jump_ball.n.01
ejection.n.02	deportation.n.02
deletion.n.04	censoring.n.02
blocking.n.01	trap_block.n.01
management.n.01	administration.n.01
reptile_family.n.01	dromaeosauridae.n.01
eubacteria.n.01	cyanobacteria.n.01
mammal_genus.n.01	lagorchestes.n.01
accomplishment.n.01	feat.n.01
bird_of_prey.n.01	owl.n.01
bird_genus.n.01	sarcorhamphus.n.01
final_judgment.n.01	conviction.n.02
change.n.03	promotion.n.02
act.n.02	rejection.n.01
evil.n.01	sexual_immorality.n.01
avoidance.n.01	aversion.n.02
shortening.n.02	contraction.n.01
war.n.01	franco-prussian_war.n.01
board_game.n.01	mah-jongg.n.01
myxovirus.n.01	paramyxovirus.n.01
rotation.n.01	spin.n.02
cut.n.17	scission.n.01
water_sport.n.01	surfing.n.01
painting.n.03	spray_painting.n.01
siege.n.01	yorktown.n.02
turn.n.03	trick.n.07
lizard.n.01	anguid_lizard.n.01
escape.n.01	evasion.n.04
sonography.n.01	b-scan_ultrasonography.n.01
punch.n.01	jab.n.02
bird_genus.n.01	chauna.n.01
herpes.n.02	herpes_zoster.n.02
manual_labor.n.01	handling.n.01
retirement.n.02	hibernation.n.03
nematode.n.01	eelworm.n.01
care.n.01	faith_healing.n.01
count.n.02	miscount.n.01
coelenterate_family.n.01	pennatulidae.n.01
breach_of_contract.n.01	partial_breach.n.01
mammal_family.n.01	vombatidae.n.01
monitor.n.07	komodo_dragon.n.01
position.n.06	legislatorship.n.01
grouse.n.02	sharp-tailed_grouse.n.01
mammal.n.01	female_mammal.n.01
bird_genus.n.01	chalcostigma.n.01
intelligence.n.05	counterintelligence.n.01
position.n.09	center.n.16
work_animal.n.01	draft_animal.n.01
practice.n.01	popery.n.01
dasyurid_marsupial.n.01	pouched_mouse.n.01
art.n.02	ceramics.n.01
marking.n.04	lineation.n.02
bacteria_genus.n.01	genus_diplococcus.n.01
sailing.n.02	beat.n.10
immigration.n.01	aliyah.n.02
swan.n.01	mute_swan.n.01
commerce.n.01	carriage_trade.n.01
operation.n.06	tympanoplasty.n.01
play.n.03	power_play.n.03
evil.n.01	deviltry.n.01
fish_family.n.01	orectolobidae.n.01
fabrication.n.03	formation.n.02
impoundment.n.01	drug_bust.n.01
contact.n.01	brush.n.09
mammal_family.n.01	chrysochloridae.n.01
beauty_treatment.n.01	manicure.n.01
abrogation.n.01	vacation.n.02
swift.n.03	chimney_swift.n.01
fish_family.n.01	alopiidae.n.01
bird_genus.n.01	anhima.n.01
animal_order.n.01	trogoniformes.n.01
representation.n.03	proportional_representation.n.01
pitched_battle.n.01	bouvines.n.01
jog.n.02	dogtrot.n.01
activity.n.01	measurement.n.01
starling.n.01	myna.n.01
display.n.02	parade.n.03
authorization.n.04	certification.n.01
fire.n.02	suppressive_fire.n.01
bird_genus.n.01	mimus.n.01
protest_march.n.01	peace_march.n.01
nightingale.n.01	bulbul.n.01
tick.n.02	hard_tick.n.01
attempt.n.01	test.n.04
therapsid.n.01	dicynodont.n.01
negligence.n.01	evasion.n.03
selling.n.01	bootlegging.n.01
care.n.05	foster_care.n.01
crime.n.01	mayhem.n.01
swimming_kick.n.01	frog_kick.n.01
aid.n.02	accommodation.n.05
construction.n.01	dry_walling.n.01
division.n.03	cut.n.15
care.n.01	pet_sitting.n.01
polychaete.n.01	lugworm.n.01
flight.n.09	redeye.n.01
reptile_family.n.01	elapidae.n.01
comparison.n.01	collation.n.03
journalism.n.02	newspapering.n.01
hydroponics.n.01	drip_culture.n.01
bird_genus.n.01	gypaetus.n.01
bacteria_genus.n.01	genus_erwinia.n.01
constitution.n.02	colonization.n.01
reduction.n.03	schematization.n.02
sale.n.03	selloff.n.01
practice.n.01	cannibalism.n.01
warbler.n.02	greater_whitethroat.n.01
fish_genus.n.01	capros.n.01
war.n.01	world_war.n.01
hawk.n.01	falcon.n.01
sport.n.02	professional_tennis.n.01
departure.n.01	sailing.n.03
change.n.03	adulteration.n.02
vocal_music.n.02	singing.n.01
diagnostic_procedure.n.01	prenatal_diagnosis.n.01
gambling.n.01	sporting_life.n.01
gait.n.03	waddle.n.01
chess_move.n.01	capture.n.05
travel.n.01	riding.n.02
increase.n.05	addition.n.02
means.n.01	road.n.02
conquest.n.01	norman_conquest.n.01
charity.n.03	handout.n.02
creating_from_raw_materials.n.01	fabrication.n.03
boxing.n.01	fight.n.05
seasoning.n.02	salting.n.01
deception.n.02	trickery.n.02
trespass.n.01	trespass_viet_armis.n.01
stalk.n.03	deerstalking.n.01
show.n.01	horseshow.n.01
fish_genus.n.01	galeorhinus.n.01
sucker.n.07	buffalo_fish.n.01
revel.n.01	whoopee.n.01
activity.n.01	use.n.01
tanager.n.01	summer_tanager.n.01
copyright_infringement.n.01	plagiarism.n.02
production.n.07	mining.n.01
amphibian_genus.n.01	megalobatrachus.n.01
procedure.n.04	objection.n.04
search.n.01	looking.n.02
police_work.n.01	surveillance.n.01
navigation.n.01	dead_reckoning.n.02
sea_turtle.n.01	leatherback_turtle.n.01
transaction.n.01	affairs.n.02
look.n.02	sightseeing.n.01
forced_landing.n.01	crash_landing.n.01
activity.n.01	role.n.04
deception.n.02	delusion.n.03
motion.n.03	shutting.n.01
act.n.02	implementation.n.02
streptomyces.n.01	streptomyces_erythreus.n.01
fish_genus.n.01	alopius.n.01
motion.n.03	adduction.n.01
whip-snake.n.01	sonoran_whipsnake.n.01
garter_snake.n.01	western_ribbon_snake.n.01
thrush.n.03	bluethroat.n.01
propulsion.n.02	lob.n.02
teaching.n.01	indoctrination.n.01
change.n.03	demotion.n.01
control.n.05	self-denial.n.02
reptile.n.01	diapsid.n.01
old_world_chat.n.01	whinchat.n.01
foram.n.01	globigerina.n.01
operation.n.06	gastrostomy.n.01
run.n.01	run_batted_in.n.01
aid.n.02	hand.n.14
bacteria.n.01	bacteroid.n.01
exercise.n.01	stretch.n.04
bird_family.n.01	malaconotinae.n.01
glance.n.01	side-glance.n.01
mammal_genus.n.01	thylogale.n.01
reptile_family.n.01	chamaeleontidae.n.01
lineman.n.04	tackle.n.04
condor.n.01	andean_condor.n.01
bird.n.01	nonpasserine_bird.n.01
exhalation.n.02	puffing.n.02
fire.n.02	supporting_fire.n.01
amphibian_family.n.01	ranidae.n.01
poker.n.02	strip_poker.n.01
drawing.n.03	tracing.n.01
vindication.n.01	justification.n.03
plastic_surgery.n.01	autoplasty.n.02
device.n.03	mnemonic.n.01
standardization.n.02	stabilization.n.01
massage.n.01	petrissage.n.01
stroke.n.01	cut.n.14
cooperation.n.01	collaboration.n.02
physical_entity.n.01	matter.n.03
dinoflagellate.n.01	noctiluca.n.01
preservation.n.01	reservation.n.07
contact_sport.n.01	wrestling.n.02
profession.n.02	architecture.n.03
eubacteria.n.01	mycoplasma.n.01
fight.n.02	single_combat.n.01
activity.n.01	wrongdoing.n.02
campaign.n.02	youth_movement.n.01
activity.n.01	dismantling.n.01
reptile_genus.n.01	genus_protoceratops.n.01
call.n.11	round.n.04
amphibian_family.n.01	cryptobranchidae.n.01
sexual_activity.n.01	conception.n.02
exhalation.n.02	wind.n.03
approach.n.09	chip.n.08
promotion.n.02	investment.n.06
engagement.n.07	intervention.n.01
arenavirus.n.01	lassa_virus.n.01
cell.n.02	recombinant.n.01
salamander.n.01	european_fire_salamander.n.01
acting.n.01	impersonation.n.03
chordate_genus.n.01	genus_salpa.n.01
ostomy.n.01	colostomy.n.01
animal_order.n.01	pycnogonida.n.01
animal.n.01	female.n.01
bird_genus.n.01	mergus.n.01
worm_genus.n.01	fasciolopsis.n.01
arthropod.n.01	tardigrade.n.01
removal.n.01	abscission.n.02
reptile_family.n.01	gavialidae.n.01
sport.n.01	rowing.n.01
duck.n.01	widgeon.n.01
fire.n.02	registration_fire.n.01
seaweed.n.01	tang.n.06
due_process.n.01	proceeding.n.01
electronic_countermeasures.n.01	electronic_deception.n.01
trade.n.02	masonry.n.03
teiid_lizard.n.01	caiman_lizard.n.01
descent.n.03	dive.n.03
mackerel_shark.n.01	great_white_shark.n.01
fetus.n.01	abortus.n.01
medicine.n.03	complementary_medicine.n.01
arthropod_genus.n.01	latrodectus.n.01
strike.n.02	surgical_strike.n.01
domestic_carp.n.01	mirror_carp.n.01
bird_genus.n.01	sitta.n.01
kick.n.01	punt.n.03
suffocation.n.01	choking.n.02
biological_research.n.01	cloning.n.01
spine.n.05	quill.n.02
deference.n.01	court.n.11
dyeing.n.01	staining.n.01
agon.n.01	isthmian_games.n.01
spadefoot.n.01	southern_spadefoot.n.01
conceptualization.n.01	approach.n.01
extracurricular_activity.n.01	dramatics.n.01
meeting.n.04	session.n.03
bird_genus.n.01	upupa.n.01
motion.n.03	sweep.n.06
villus.n.01	chorionic_villus.n.01
transaction.n.01	rental.n.02
jawless_vertebrate.n.01	hagfish.n.01
frog.n.01	barking_frog.n.01
animal.n.01	male.n.01
blend.n.03	confluence.n.02
combination.n.07	confusion.n.04
descent.n.03	swoop.n.03
figure.n.13	figure_eight.n.02
bird_family.n.01	artamidae.n.01
face_lift.n.01	nose_job.n.01
marketing_research.n.01	product_research.n.01
ritual.n.02	ablution.n.01
reconnaissance.n.01	recce.n.01
operation.n.05	information_gathering.n.01
service.n.11	socage.n.01
labor.n.02	overwork.n.01
assignment.n.05	school_assignment.n.01
lesbianism.n.01	tribadism.n.01
division.n.11	short_division.n.01
organism.n.01	microorganism.n.01
listening.n.01	auscultation.n.01
conformity.n.02	formality.n.03
gait.n.03	flounce.n.02
bird_family.n.01	phasianidae.n.01
withdrawal.n.03	decampment.n.02
bird_genus.n.01	pastor.n.02
animal_order.n.01	picariae.n.01
cotinga.n.01	cock_of_the_rock.n.01
marsh_wren.n.01	long-billed_marsh_wren.n.01
animal.n.01	varmint.n.02
religious_ceremony.n.01	unction.n.04
performance.n.03	linguistic_performance.n.01
sexual_activity.n.01	sexual_love.n.02
hindrance.n.03	deterrence.n.03
bird_genus.n.01	genus_apteryx.n.01
struggle.n.03	wrestle.n.01
corvine_bird.n.01	chough.n.01
cuckoo.n.02	roadrunner.n.01
blow.n.07	insufflation.n.02
weaving.n.01	netting.n.02
orgasm.n.01	male_orgasm.n.01
bird_genus.n.01	centropus.n.01
reptile_genus.n.01	vipera.n.01
dancing.n.01	mambo.n.01
position.n.06	mayoralty.n.01
transfer.n.06	conveyance.n.04
spontaneous_abortion.n.01	imminent_abortion.n.01
conformity.n.02	keeping.n.01
influence.n.02	manipulation.n.01
mammal_family.n.01	macropodidae.n.01
change_of_state.n.01	change_of_color.n.01
pretense.n.01	masquerade.n.03
festival.n.02	saturnalia.n.01
exemption.n.03	sovereign_immunity.n.01
badminton.n.01	battledore.n.02
measurement.n.01	thermometry.n.01
presentation.n.02	exhibition.n.01
repair.n.01	band_aid.n.02
means.n.01	voice.n.05
sponge.n.04	glass_sponge.n.01
bird_genus.n.01	penelope.n.02
change_of_state.n.01	termination.n.05
art.n.02	perfumery.n.04
reconnaissance.n.01	electronic_reconnaissance.n.01
measurement.n.01	radioactive_dating.n.01
bird_genus.n.01	emberiza.n.01
fish_genus.n.01	rutilus.n.01
production.n.07	quarrying.n.01
chlorophyll.n.01	chlorophyll_a.n.01
python.n.01	rock_python.n.01
reptile_genus.n.01	coleonyx.n.01
playing.n.01	bowing.n.02
trade.n.02	airplane_mechanics.n.01
ray.n.07	skate.n.02
oscine.n.01	thrasher.n.02
hair_coloring.n.03	rinse.n.03
rat_kangaroo.n.01	bettong.n.01
merging.n.01	concourse.n.03
kingbird.n.01	cassin's_kingbird.n.01
oscine.n.01	wagtail.n.01
technology.n.01	automotive_technology.n.01
commerce.n.01	selling.n.01
shell.n.10	phragmocone.n.01
extortion.n.03	shakedown.n.03
